subject,count
"Chernobyl Nuclear Accident (Chornobylʹ, Ukraine : 1986)",137
Cherry Mine Disaster (Illinois : 1909),138
"Chestnut Hill, Battle of (Philadelphia, Pennsylvania : 1777)",139
Cheyenne Frontier Days (Celebration),140
Chinese reunification question (1949-),141
"Chipyong-ni, Battle of (Chipʻyŏng-ni, Korea : 1951)",142
"Chocim, Battle of (Khotyn, Ukraine : 1621)",143
"Chocim, Battle of (Khotyn, Ukraine : 1673)",144
"Cinco de Mayo, Battle of (Puebla, Mexico : 1862)",145
"Cinefest (Syracuse, N.Y.)",146
"Ciudad Juárez, Battle of (Mexico : 1911)",147
Civil War (Liberia : 1989-1996),148
Civil War (Sierra Leone : 1991-2002),149
"Clark's Mill, Battle of (Missouri : 1862)",150
"Clark's Mill, Battle of (Vera Cruz, Missouri : 1862)",151
Coal Strike (Great Britain : 1984-1985),152
Coeur d'Alene Miners' Strike (Idaho : 1899),153
"Colle, Battle of (Colle di Val d'Elsa, Italy : 1269)",154
Cologne Communist Trial (Germany : 1852),155
Colombia.Convención de Ocaña (1828),156
Columbus Quincentenary (1992-1993),157
Commonwealth Conference (Oregon),158
Conference of the Contracting Parties,159
Conference on Security and Cooperation in Europe,160
Congrès mondial acadien,161
Congreso Nacional de Educacíon (1989),162
ConStellation (Conference),163
Conversations on International Organization,164
"Cook's Mills, Battle of (Welland, Ontario : 1814)",165
Copper Miners' Strike (Michigan : 1913-1914),166
Cossack-Polish War (1648-1657),167
"Cotton Textile Workers' Strike (Preston, Lancashire, England : 1853-1854)",168
Coup d'état (Turkey : 1960),169
Crawford Open (Exhibition),170
"Crécy, Battle of (Crécy-en-Ponthieu, France : 1346)",171
Creek War (1813-1814),172
Creek War (1836),173
Crimean War (1853-1856),174
Cripple Creek Strike (Colorado : 1903-1904),175
"Crooked Billet, Battle of (Hatboro, Pennsylvania : 1778)",176
"Cross Keys, Battle of (Rockingham County, Virginia : 1862)",177
Crown Point Expedition (New York : 1755),178
Crusades (First : 1096-1099),179
Cuban Missile Crisis (1962),180
"Cudnów, Battle of (Chudniv, Ukraine : 1660)",181
"Curaçao Riots (Willemstad,Curaçao : 1969)",182
"Curupaity, Battle of (Ñeembucú, Paraguay : 1866)",183
"Cussey, Battle of (Cussey-sur-l'Ognon, France : 1870)",184
Cyclone Sina (1990),185
Cyprian War (1570-1571),186
Częstochowa Trials (Poland : 1945-1950),187
Dachau Trial (Germany : 1946),188
"Dakota County Fair (Dakota County, Minnesota)",189
"Danebod Folk Meeting (Tyler, Minnesota)",190
Dano-Swedish War (1643-1645),191
Danske dybhavsekspedition jorden rundt,192
"Dayr al Qamar, Lebanon, Massacre of (1860)",193
"Delaware County Fair (Delaware County, New York)",194
"Delphi, Battle of (Delphi : 279 B.C.)",195
Deportations (1939-1945 : World War),196
Deportations from Austria (1939-1945 : World War),197
Deportations from Belgium (1939-1945 : World War),198
Deportations from Czechoslovakia (1939-1945 : World War),199
Deportations from Estonia (1939-1945 : World War),200
Deportations from Finland (1939-1945 : World War),201
Deportations from France (1939-1945 : World War),202
Deportations from Germany (1939-1945 : World War),203
Deportations from Hungary (1939-1945 : World War),204
Deportations from Italy (1939-1945 : World War),205
Deportations from Java (1939-1945 : World War),206
Deportations from Latin America (1939-1945 : World War),207
Deportations from Latvia (1939-1945 : World War),208
Deportations from Lithuania (1939-1945 : World War),209
Deportations from Luxembourg (1939-1945 : World War),210
Deportations from Malta (1939-1945 : World War),211
Deportations from Peru (1939-1945 : World War),212
Deportations from Poland (1939-1945 : World War),213
Deportations from Romania (1939-1945 : World War),214
Deportations from Sweden (1939-1945 : World War),215
Deportations from the Baltic States (1939-1945 : World War),216
Deportations from the Channel Islands (1939-1945 : World War),217
Deportations from the Soviet Union (1939-1945 : World War),218
Deportations from Ukraine (1939-1945 : World War),219
Deportations from Yugoslavia (1939-1945 : World War),220
Derby Lockout (England : 1833-1834),221
"Dettingen, Battle of (Karlstein, Unterfranken, Germany : 1743)",222
Deutsche Afrika-expeditionen,223
Deutsche Zentralafrika-Expedition,224
Dhahran Military Housing Facility Bombing (Saudi Arabia : 1996),225
"Diaoyu Cheng, Battle of (Diaoyu Cheng : 1259)",226
