subject,count
"Waldemar IV, Reign of (Denmark)",156
"John V Palaeologus, Reign of (Byzantine Empire)",157
"Louis I, Reign of (Hungary)",158
"Jane I, Reign of (Naples)",159
"Charles IV, Reign of (Germany)",160
"Charles IV, Reign of (Holy Roman Empire)",161
"Genoese Domination, Reign of (Corsica)",162
"John II, Reign of (France)",163
"Peter I, Reign of (Castile)",164
"Pedro I, Reign of (Portugal)",165
"Albrecht von Mecklenburg, Reign of (Sweden)",166
"Charles V, Reign of (France)",167
"Fernando, Reign of (Portugal)",168
"Henry II, Reign of (Castile)",169
"Robert II, Reign of (Scotland)",170
"Ivan Shishman, Reign of (Bulgaria)",171
"Stuarts, to the Union (Scotland)",172
"Richard II, Reign of (Great Britain)",173
"Wenzel, Reign of (Germany)",174
"John I, Reign of (Castile)",175
"Antoninus Pius, Reign of (Rome)",176
"Charles VI, Reign of (France)",177
"Interregnum, Period of (Portugal)",178
"John I, Reign of (Portugal)",179
"Discoveries, Period of (Portugal)",180
"Vladislaus II Jagiello, Reign of (Poland)",181
"Jagellons, Reign of (Poland)",182
"John I, Reign of (Aragon)",183
"Sigismund, Reign of (Hungary)",184
"Bayezid I, Reign of (Turkey)",185
"Boniface IX, Reign of (Papal States)",186
"Henry III, Reign of (Castile)",187
"Robert III, Reign of (Scotland)",188
"Manuel II Palaeologus, Reign of (Byzantine Empire)",189
"Henry IV, Reign of (Great Britain)",190
"Lancaster and York, Reign of (Great Britain)",191
"Tiberius, Reign of (Rome)",192
"Rupert, Reign of (Holy Roman Empire)",193
"Eric III, Reign of (Norway)",194
"James I, Reign of (Scotland)",195
"John II, Reign of (Castile)",196
"Interregnum, Period of (Aragon)",197
"Sigismund, Reign of (Germany)",198
"Sigismund, Reign of (Holy Roman Empire)",199
"Fernando I, Reign of (Aragon)",200
"Henry V, Reign of (Great Britain)",201
"Alfonso V, Reign of (Aragon)",202
"Charles VII, Reign of (France)",203
"Henry VI, Reign of (Great Britain)",204
"John VIII Palaeologus, Reign of (Byzantine Empire)",205
"Turkish Rule, Period under (Epirus)",206
"Edward, Reign of (Portugal)",207
"Vladislaus III, Reign of (Poland)",208
"James II, Reign of (Scotland)",209
"Albert II, Reign of (Holy Roman Empire)",210
"Alfonso V, Reign of (Portugal)",211
"Frederick III, Reign of (Germany)",212
"Frederick III, Reign of (Holy Roman Empire)",213
"Spanish Rule, Period under (Naples)",214
"Casimir IV, Reign of (Poland)",215
"Constantine XI Dragases, Reign of (Byzantine Empire)",216
"Christian I, Reign of (Norway)",217
Renaissance Period,218
"Mehmed II, Reign of (Turkey)",219
"Henry IV, Reign of (Castile)",220
"John II, Reign of (Aragon)",221
"Matthias I, Reign of (Hungary)",222
"James III, Reign of (Scotland)",223
"Edward IV, Reign of (Great Britain)",224
"Louis XI, Reign of (France)",225
