subject,count
"Champigny, Battle of (Champigny-sur-Marne, France : 1870)",137
"Chapultepec, Battle of (Mexico City, Mexico : 1847)",138
"Chengtu Incident (Chengdu, China : 1936)",139
Cherek Massacre (Russia : 1942),140
"Cheriton, Battle of (Hampshire, England : 1644)",141
"Chernobyl Nuclear Accident (Chornobylʹ, Ukraine : 1986)",142
Cherry Mine Disaster (Illinois : 1909),143
"Chestnut Hill, Battle of (Philadelphia, Pennsylvania : 1777)",144
Cheyenne Frontier Days (Celebration),145
Chinese reunification question (1949-),146
"Chipyong-ni, Battle of (Chipʻyŏng-ni, Korea : 1951)",147
"Chocim, Battle of (Khotyn, Ukraine : 1621)",148
"Chocim, Battle of (Khotyn, Ukraine : 1673)",149
"Cinco de Mayo, Battle of (Puebla, Mexico : 1862)",150
"Cinefest (Syracuse, N.Y.)",151
"Ciudad Juárez, Battle of (Mexico : 1911)",152
Civil War (Liberia : 1989-1996),153
Civil War (Sierra Leone : 1991-2002),154
"Clark's Mill, Battle of (Missouri : 1862)",155
"Clark's Mill, Battle of (Vera Cruz, Missouri : 1862)",156
Coal Strike (Great Britain : 1984-1985),157
Coeur d'Alene Miners' Strike (Idaho : 1899),158
"Colle, Battle of (Colle di Val d'Elsa, Italy : 1269)",159
Cologne Communist Trial (Germany : 1852),160
Colombia.Convención de Ocaña (1828),161
Columbus Quincentenary (1992-1993),162
Commonwealth Conference (Oregon),163
Conference of the Contracting Parties,164
Conference on Security and Cooperation in Europe,165
Conference on Security and Cooperation in Europe,166
Congrès mondial acadien,167
Congreso Nacional de Educacíon (1989),168
ConStellation (Conference),169
Conversations on International Organization,170
"Cook's Mills, Battle of (Welland, Ontario : 1814)",171
Copper Miners' Strike (Michigan : 1913-1914),172
Cossack-Polish War (1648-1657),173
"Cotton Textile Workers' Strike (Preston, Lancashire, England : 1853-1854)",174
Coup d'état (Turkey : 1960),175
Crawford Open (Exhibition),176
"Crécy, Battle of (Crécy-en-Ponthieu, France : 1346)",177
Creek War (1813-1814),178
Creek War (1836),179
Crimean War (1853-1856),180
Cripple Creek Strike (Colorado : 1903-1904),181
"Crooked Billet, Battle of (Hatboro, Pennsylvania : 1778)",182
"Cross Keys, Battle of (Rockingham County, Virginia : 1862)",183
Crown Point Expedition (New York : 1755),184
Crusades (First : 1096-1099),185
Cuban Missile Crisis (1962),186
"Cudnów, Battle of (Chudniv, Ukraine : 1660)",187
"Curaçao Riots (Willemstad,Curaçao : 1969)",188
"Curupaity, Battle of (Ñeembucú, Paraguay : 1866)",189
"Cussey, Battle of (Cussey-sur-l'Ognon, France : 1870)",190
Cyclone Sina (1990),191
Cyprian War (1570-1571),192
Częstochowa Trials (Poland : 1945-1950),193
Dachau Trial (Germany : 1946),194
"Dakota County Fair (Dakota County, Minnesota)",195
"Danebod Folk Meeting (Tyler, Minnesota)",196
Dano-Swedish War (1643-1645),197
Danske dybhavsekspedition jorden rundt,198
"Dayr al Qamar, Lebanon, Massacre of (1860)",199
"Delaware County Fair (Delaware County, New York)",200
"Delphi, Battle of (Delphi : 279 B.C.)",201
Deportations (1939-1945 : World War),202
Deportations from Austria (1939-1945 : World War),203
Deportations from Belgium (1939-1945 : World War),204
Deportations from Czechoslovakia (1939-1945 : World War),205
Deportations from Estonia (1939-1945 : World War),206
Deportations from Finland (1939-1945 : World War),207
Deportations from France (1939-1945 : World War),208
Deportations from Germany (1939-1945 : World War),209
Deportations from Hungary (1939-1945 : World War),210
Deportations from Italy (1939-1945 : World War),211
Deportations from Java (1939-1945 : World War),212
Deportations from Latin America (1939-1945 : World War),213
Deportations from Latvia (1939-1945 : World War),214
Deportations from Lithuania (1939-1945 : World War),215
Deportations from Luxembourg (1939-1945 : World War),216
Deportations from Malta (1939-1945 : World War),217
Deportations from Peru (1939-1945 : World War),218
Deportations from Poland (1939-1945 : World War),219
Deportations from Romania (1939-1945 : World War),220
Deportations from Sweden (1939-1945 : World War),221
Deportations from the Baltic States (1939-1945 : World War),222
Deportations from the Channel Islands (1939-1945 : World War),223
Deportations from the Soviet Union (1939-1945 : World War),224
Deportations from Ukraine (1939-1945 : World War),225
Deportations from Yugoslavia (1939-1945 : World War),226
Derby Lockout (England : 1833-1834),227
"Dettingen, Battle of (Karlstein, Unterfranken, Germany : 1743)",228
Deutsche Afrika-expeditionen,229
Deutsche Zentralafrika-Expedition,230
Dhahran Military Housing Facility Bombing (Saudi Arabia : 1996),231
"Diaoyu Cheng, Battle of (Diaoyu Cheng : 1259)",232
"Dien Bien Phu, Battle of (Điện Biên Phủ, Vietnam : 1954)",233
"Ditch, Battle of the (Medina, Saudi Arabia : 627)",234
"Dograi, Battle of (Dograe, Pakistan : 1965)",235
"Dong Ha, Battle of (Đông Hà, Vietnam : 1972)",236
"Dong Khe, Battle of (Đông Khê, Vietnam : 1950)",237
"Dumlupınar, Battle of (Kütahya İli, Turkey : 1922)",238
Dunblane Massacre (Scotland : 1996),239
"Dunkirk, Battle of (Dunkerque, France : 1940)",240
"Durazzo, Battle of (Durrës, Albania : 1918)",241
Dutch War (1672-1678),242
"Ebelsberg, Battle of (Linz, Austria : 1809)",243
Economic and Financial Conference,244
Ecuador-Peru Conflict (1941),245
Ecuador-Peru Conflict (1981),246
"Edgecote, Battle of (Edgcote, England : 1469)",247
Edinburgh International Festival,248
Edinburgh International Television Festival,249
Eighty Years' War (Netherlands : 1568-1648),250
El Salvador-Honduras Conflict (1969),251
Empire Potato Collecting Expedition to South America,252
"Enzheim, Battle of (Entzheim, France : 1674)",253
Eritrean-Ethiopian War (1998-2000),254
Eruption of Mount Ruapehu (New Zealand : 1969),255
Esposizione internazionale di Roma(OCoLC)fst01409522fast,256
Esso Longford Gas Plant Accident (Victoria : 1998),257
Etaples Mutiny (France : 1917),258
"European Fine Art Fair (Maastricht, Netherlands)",259
Evacuation and relocation of Japanese Americans (United States : 1942-1945),260
"Evacuation Day (New York, New York : 1783)",261
Evacuation of civilians (1939-1945 : World War),262
Evacuation of civilians (1939-1945 : World War),263
Exhibition of Watercolors by American Artists,264
Expédition antarctique belge (1897-1899),265
Expédition antarctique belge (1957-1958),266
Expédition antarctique française,267
Expedition of the Thousand (Italy : 1860),268
Expedition of the Thousand (Italy : 1860),269
Expo (International Exhibitions Bureau),270
Expo (International Exhibitions Bureau),271
Expo (Proposed exposition),272
Expo (Publi Promo Ltd),273
Expo 2000 (Project),274
Exposition internationale,275
Expulsion of the Acadians (Nova Scotia : 1755),276
"Eylau, Battle of (Bagrationovsk, Russia : 1807)",277
Falkland Islands War (1982),278
Famous (Expedition),279
Farmers' Strike (Poland : 1937),280
"Farmers' Week (East Lansing, Michigan)",281
"Farmers' Week (East Lansing, Mighigan)",282
Farmington Mine Disaster (W. Virginia : 1968),283
