subject,count
"Blenheim, Battle of (Bavaria, Germany : 1704)",84
"Blenheim, Battle of (Blindheim, Bavaria, Germany : 1704)",85
"Blossomtime Festival (Benton Harbor and St. Joseph, Michigan)",86
"Blossomtime Festival (Benton Harbor, Michigan and St. Joseph, Michigan)",87
"Blue Springs, Battle of (Mosheim, Tennessee : 1863)",88
"Blue Springs, Battle of (Mosheim, Tennessee : 1864)",89
Bombay Riots (India : 1992-1993),90
"Bombay Riots (Mumbai, India : 1992-1993)",91
Bondelswarts Rebellion (Namibia : 1922),92
Bonite Expedition,93
"Borodino, Battle of (Mozhaĭskiĭ raĭon, Russia : 1812)",94
Boston Tea Party (Massachusetts : 1773),95
"Boyacá, Battle of (Boyacá, Colombia : 1819)",96
"Boyacá, Battle of (Colombia : 1819)",97
Bristol Bridge Massacre (England : 1793),98
British Antarctic Expedition (1898-1900),99
British Open (Golf tournament),100
"Brownstown, Battle of (Michigan : August 5, 1812)",101
Bruneval Raid (France : 1942),102
"Brzeziny, Battle of (Łódź, Poland : 1914)",103
"Bull Run, 1st Battle of (Virginia : 1861)",104
"Bumbershoot Festival (Seattle, Washington)",105
"Bunker Hill, Battle of (Boston, Massachusetts : 1775)",106
Burke and Wills Expedition (1860-1861),107
"Byczyna, Battle of (Opole, Poland : 1588)",108
"Callao, Battle of (Callao, Peru : 1866)",109
Cambodian-Vietnamese Conflict (1977-1991),110
Cambridge Anthropological Expedition to Torres Straits (1898),111
Cananea Consolidated Copper Co. Strike (1906),112
"Capitola Begonia Festival (Capitola, California)",113
Capitulation of Paris (France : 1814),114
Capitulation of Paris (France : 1815),115
"Caporetto, Battle of (Kobarid, Slovenia : 1917)",116
Capture of Sint Eustatius by the British (1781),117
"Carabobo, Battle of (Venezuela : 1821)",118
Cardiff Explosives Trial (Wales : 1983),119
Carlist War (Spain : 1873-1876)fast,120
"Castro, War of (1642-1644)",121
"Celaya, 1st Battle of (Guanajuato, Mexico : 1915)",122
"Celaya, 2nd Battle of (Guanajuato, Mexico : 1915)",123
Centennial Exhibition,124
Centralia Massacre (Washington : 1919),125
"Centre County Grange Fair (Centre Hall, Pennsylvania)",126
"Cer, Battle of (Serbia : 1914)",127
"Ceresole, Battle of (Ceresole Alba, Italy : 1544)",128
Chaco War (1932-1935),129
"Chaeronea, Battle of (Greece : 338 B.C.)",130
"Champagne, Battles of (France : 1914-1917)",131
"Champigny, Battle of (Champigny-sur-Marne, France : 1870)",132
"Chapultepec, Battle of (Mexico City, Mexico : 1847)",133
"Chengtu Incident (Chengdu, China : 1936)",134
Cherek Massacre (Russia : 1942),135
"Cheriton, Battle of (Hampshire, England : 1644)",136
"Chernobyl Nuclear Accident (Chornobylʹ, Ukraine : 1986)",137
Cherry Mine Disaster (Illinois : 1909),138
"Chestnut Hill, Battle of (Philadelphia, Pennsylvania : 1777)",139
Cheyenne Frontier Days (Celebration),140
Chinese reunification question (1949-),141
"Chipyong-ni, Battle of (Chipʻyŏng-ni, Korea : 1951)",142
"Chocim, Battle of (Khotyn, Ukraine : 1621)",143
"Chocim, Battle of (Khotyn, Ukraine : 1673)",144
"Cinco de Mayo, Battle of (Puebla, Mexico : 1862)",145
"Cinefest (Syracuse, N.Y.)",146
"Ciudad Juárez, Battle of (Mexico : 1911)",147
Civil War (Liberia : 1989-1996),148
Civil War (Sierra Leone : 1991-2002),149
"Clark's Mill, Battle of (Missouri : 1862)",150
"Clark's Mill, Battle of (Vera Cruz, Missouri : 1862)",151
Coal Strike (Great Britain : 1984-1985),152
Coeur d'Alene Miners' Strike (Idaho : 1899),153
"Colle, Battle of (Colle di Val d'Elsa, Italy : 1269)",154
Cologne Communist Trial (Germany : 1852),155
Colombia.Convención de Ocaña (1828),156
Columbus Quincentenary (1992-1993),157
Commonwealth Conference (Oregon),158
Conference of the Contracting Parties,159
Conference on Security and Cooperation in Europe,160
Conference on Security and Cooperation in Europe,161
Congrès mondial acadien,162
Congreso Nacional de Educacíon (1989),163
ConStellation (Conference),164
Conversations on International Organization,165
"Cook's Mills, Battle of (Welland, Ontario : 1814)",166
Copper Miners' Strike (Michigan : 1913-1914),167
Cossack-Polish War (1648-1657),168
"Cotton Textile Workers' Strike (Preston, Lancashire, England : 1853-1854)",169
Coup d'état (Turkey : 1960),170
Crawford Open (Exhibition),171
"Crécy, Battle of (Crécy-en-Ponthieu, France : 1346)",172
Creek War (1813-1814),173
Creek War (1836),174
Crimean War (1853-1856),175
Cripple Creek Strike (Colorado : 1903-1904),176
"Crooked Billet, Battle of (Hatboro, Pennsylvania : 1778)",177
"Cross Keys, Battle of (Rockingham County, Virginia : 1862)",178
Crown Point Expedition (New York : 1755),179
Crusades (First : 1096-1099),180
Cuban Missile Crisis (1962),181
"Cudnów, Battle of (Chudniv, Ukraine : 1660)",182
"Curaçao Riots (Willemstad,Curaçao : 1969)",183
"Curupaity, Battle of (Ñeembucú, Paraguay : 1866)",184
"Cussey, Battle of (Cussey-sur-l'Ognon, France : 1870)",185
Cyclone Sina (1990),186
Cyprian War (1570-1571),187
Częstochowa Trials (Poland : 1945-1950),188
Dachau Trial (Germany : 1946),189
"Dakota County Fair (Dakota County, Minnesota)",190
"Danebod Folk Meeting (Tyler, Minnesota)",191
Dano-Swedish War (1643-1645),192
Danske dybhavsekspedition jorden rundt,193
"Dayr al Qamar, Lebanon, Massacre of (1860)",194
"Delaware County Fair (Delaware County, New York)",195
"Delphi, Battle of (Delphi : 279 B.C.)",196
Deportations (1939-1945 : World War),197
Deportations from Austria (1939-1945 : World War),198
Deportations from Belgium (1939-1945 : World War),199
Deportations from Czechoslovakia (1939-1945 : World War),200
Deportations from Estonia (1939-1945 : World War),201
Deportations from Finland (1939-1945 : World War),202
Deportations from France (1939-1945 : World War),203
Deportations from Germany (1939-1945 : World War),204
Deportations from Hungary (1939-1945 : World War),205
Deportations from Italy (1939-1945 : World War),206
Deportations from Java (1939-1945 : World War),207
Deportations from Latin America (1939-1945 : World War),208
Deportations from Latvia (1939-1945 : World War),209
Deportations from Lithuania (1939-1945 : World War),210
Deportations from Luxembourg (1939-1945 : World War),211
Deportations from Malta (1939-1945 : World War),212
Deportations from Peru (1939-1945 : World War),213
Deportations from Poland (1939-1945 : World War),214
Deportations from Romania (1939-1945 : World War),215
Deportations from Sweden (1939-1945 : World War),216
Deportations from the Baltic States (1939-1945 : World War),217
Deportations from the Channel Islands (1939-1945 : World War),218
Deportations from the Soviet Union (1939-1945 : World War),219
Deportations from Ukraine (1939-1945 : World War),220
Deportations from Yugoslavia (1939-1945 : World War),221
Derby Lockout (England : 1833-1834),222
"Dettingen, Battle of (Karlstein, Unterfranken, Germany : 1743)",223
Deutsche Afrika-expeditionen,224
Deutsche Zentralafrika-Expedition,225
Dhahran Military Housing Facility Bombing (Saudi Arabia : 1996),226
"Diaoyu Cheng, Battle of (Diaoyu Cheng : 1259)",227
"Dien Bien Phu, Battle of (Điện Biên Phủ, Vietnam : 1954)",228
"Ditch, Battle of the (Medina, Saudi Arabia : 627)",229
"Dograi, Battle of (Dograe, Pakistan : 1965)",230
"Dong Ha, Battle of (Đông Hà, Vietnam : 1972)",231
"Dong Khe, Battle of (Đông Khê, Vietnam : 1950)",232
"Dumlupınar, Battle of (Kütahya İli, Turkey : 1922)",233
Dunblane Massacre (Scotland : 1996),234
"Dunkirk, Battle of (Dunkerque, France : 1940)",235
"Durazzo, Battle of (Durrës, Albania : 1918)",236
Dutch War (1672-1678),237
"Ebelsberg, Battle of (Linz, Austria : 1809)",238
Economic and Financial Conference,239
Ecuador-Peru Conflict (1941),240
Ecuador-Peru Conflict (1981),241
"Edgecote, Battle of (Edgcote, England : 1469)",242
Edinburgh International Festival,243
Edinburgh International Television Festival,244
Eighty Years' War (Netherlands : 1568-1648),245
El Salvador-Honduras Conflict (1969),246
Empire Potato Collecting Expedition to South America,247
"Enzheim, Battle of (Entzheim, France : 1674)",248
Eritrean-Ethiopian War (1998-2000),249
Eruption of Mount Ruapehu (New Zealand : 1969),250
Esposizione internazionale di Roma,251
Esso Longford Gas Plant Accident (Victoria : 1998),252
Etaples Mutiny (France : 1917),253
"European Fine Art Fair (Maastricht, Netherlands)",254
Evacuation and relocation of Japanese Americans (United States : 1942-1945),255
"Evacuation Day (New York, New York : 1783)",256
Evacuation of civilians (1939-1945 : World War),257
Exhibition of Watercolors by American Artists,258
Expédition antarctique belge (1897-1899),259
Expédition antarctique belge (1957-1958),260
Expédition antarctique française,261
Expedition of the Thousand (Italy : 1860),262
Expo (International Exhibitions Bureau),263
Expo (International Exhibitions Bureau),264
Expo (Proposed exposition),265
Expo (Publi Promo Ltd),266
Expo 2000 (Project),267
Exposition internationale,268
Expulsion of the Acadians (Nova Scotia : 1755),269
"Eylau, Battle of (Bagrationovsk, Russia : 1807)",270
Falkland Islands War (1982),271
Famous (Expedition),272
Farmers' Strike (Poland : 1937),273
"Farmers' Week (East Lansing, Michigan)",274
"Farmers' Week (East Lansing, Mighigan)",275
Farmington Mine Disaster (W. Virginia : 1968),276
Farmington Mine Disaster (West Virginia : 1968),277
"Fayette County Fair (Fayette County, Indiana)",278
"Federalist Revolution (Rio Grande do Sul, Brazil : 1893-1895)",279
Festival Film Indonesia,280
Festival Internacional de Poesía de Medellín,281
"Festival international d'art lyrique et de musique (Aix-en-Provence, France)",282
Festival international de jazz de Montréal,283
Festival of Festivals,284
Fetterman Fight (Wyoming : 1866),285
"Fiesta San Antonio (San Antonio, Texas)",286
"Fiesta San Jacinto (San Antonio, Texas)",287
Fifteen Years' War (1591-1606),288
"First Coalition, War of the (1792-1797)",289
"Fishguard, Battle of (Wales : 1797)",290
"Flagstaff All-Indian Pow-Wow (Flagstaff, Arizona)",291
"Flores, Battle of (Azores : 1591)",292
"Fontenoy, Battle of (Hainaut, Belgium : 1745)",293
Forbes Expedition against Fort Duquesne (Pennsylvania : 1758),294
"Fornovo, Battle of (Fornovo di Taro, Italy : 1495)",295
"Fort Sanders, Battle of (Knoxville, Tennessee : 1863)",296
"Fort Stedman, Battle of (Petersburg, Virginia : 1865)",297
Franco-Prussian War (1870-1871),298
Franco-Spanish War (1635-1659),299
"Frankenhausen, Battle of (Bad Frankenhausen, Germany : 1525)",300
"Fredericktown, Battle of (Missouri : 1861)",301
"Freiburg, Battle of (Freiburg im Breisgau, Germany : 1644)",302
French and Indian War (United States : 1754-1763),303
French Revolution Bicentennial (1989),304
"Friedland, Battle of (Pravdinsk, Kaliningradskai︠a︡ oblastʹ, Russia : 1807)",305
Frog Lake Massacre (Alberta : 1885),306
"Frog Lake Massacre (Frog Lake, Alberta : 1885)",307
"Fulton Bag and Cotton Mills Strike (Atlanta, Georgia : 1914-1915)",308
"Funsten Nut Company Strike (Saint Louis, Missouri : 1933)",309
G7 Summit,310
Gardelegen Massacre (Germany : 1945),311
"Garrison Mob (Boston, Massachusetts : 1835)",312
"Gaza, Battles of (Gaza : 1917)",313
General Missionary Conference for South Africa,314
"General Motors do Brasil Strike (São Jose dos Campos, São Paulo, Brazil : 1985)",315
General Strike (Great Britain : 1926),316
"General Strike (Saint Louis, Missouri : 1877)",317
General Strike (Sweden : 1909),318
German reunification question (1949-1990),319
German Tibet Expedition,320
"Germantown, Battle of (Philadelphia, Pennsylvania : 1777)",321
"Gettysburg, Battle of (Pennsylvania : 1863)",322
Gilliam County Fair,323
Gilliam County Fair (Oregon),324
Giro d'Italia (Bicycle race),325
Gnadenhutten Massacre (Ohio : 1782),326
Goldfield Strike (Nevada : 1907),327
Goliad Massacre (Texas : 1836),328
"Goodhue County Fair (Goodhue County, Minnesota)",329
Governor's Capitol Art Exhibition (Wyoming),330
Governor's Conference on Aging (New York),331
Governor's Traffic Safety Conference (California),332
"Grahovac, Battle of (Montenegro : 1858)",333
"Grand Alliance, War of the (1689-1697)",334
Grands Voiliers à Bordeaux (France : 1990),335
Grands voiliers à Bordeaux (Race),336
Greco-Turkish War (1921-1922),337
Greely Relief Expedition (1883),338
Gresford Colliery Disaster (Wales : 1934),339
"Grochów, Battle of (Warsaw, Poland : 1831)",340
Guadalajara Gasoline Explosions (Mexico : 1992),341
"Guadalajara, Battle of (Brihuega, Spain : 1937)",342
"Gualán, Battle of (Guatemala : 1954)",343
"Guararapes, Battle of (Brazil : 1648)",344
"Guararapes, Battle of (Brazil : 1649)",345
Guatemala Earthquake (1976),346
Guayaquil Interview (Ecuador : 1822),347
"Guilin, Battle of (Guangxi Zhuangzu Zizhiqu, China : 1944)",348
Gunpowder Plot (1605),349
"Hakodate, Battle of (Hakodate-shi, Japan : 1868-1869)",350
Halifax Explosion (Nova Scotia : 1917),351
"Hanover, Battle of (York County, Pennsylvania : 1863)",352
Harrisburg Seven Trial (Pennsylvania : 1972),353
Hartford Circus Fire (Connecticut : 1944),354
Haun's Mill Massacre (Missouri : 1838),355
"Haymarket Square Riot (Chicago, Illinois : 1886)",356
"Hejaz (Kingdom).Delegation (Paris Peace Conference, 1919-1920)",357
Hillcrest Mine Disaster (Alberta : 1914),358
"Hollabrunn, Battle of (Hollabrunn, Austria : 1805)",359
"Holocaust, Jewish (1939-1945)",360
Homelessness Marathon,361
Homestead Strike (Pennsylvania : 1892),362
Hone Heke's Rebellion (New Zealand : 1844-1846),363
"Hoti and Gruda, Battle of (Montenegro : 1880)",364
"Huamachuco, Battle of (La Libertad, Peru : 1883)",365
"Hue, Battle of (Hué̂, Vietnam : 1968)",366
Hundred Years' War (1339-1453),367
Hyden Coal Mine Disaster (Kentucky : 1970),368
"Imphal, Battle of (Imphāl, India : 1944)",369
Indian Economic Association.Conference,370
Indian Wars (Comanche : 1859-1860),371
India-Pakistan Conflict (1947-1949),372
India-Pakistan Conflict (1965),373
India-Pakistan Conflict (1971),374
Indochinese War (1946-1954),375
"İnönü, Battles of (Bilecik İli, Turkey : 1921)",376
"Insurrection (Peloponnesus, Greece : 1770)",377
Interferenzen (Exhibition),378
"International (Golf tournament : Castle Pines, Colorado)",379
International Antiquarian Book Fair (Antiquarian Booksellers Association of America),380
"International Azalea Festival (Norfolk, Virginia)",381
"International Biennale of Architecture (Kraków, Poland)",382
"International Conference on Asteroids, Comets, Meteors",383
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",384
International Conference on Deaf Culture,385
International Conference on Environmental Education (1977- ),386
International Congress of Hygiene and Demography,387
International Congress of South-East European Research Studies,388
International Congresses for Modern Architecture,389
"International Exhibition of Paintings (Pittsburgh, Pennsylvania)",390
"International Folk Festival (Duluth, Minnesota)",391
International Poetry Festival (1970),392
International Press Exhibition,393
"International Relations Conference (International Peace Garden, Manitoba and North Dakota)",394
"International Relations Conference (International Peace Garden, Manitoba and Notth Dakota)",395
International Women's Decade (1976-1985),396
International Women's Year (1975),397
Intifada (1987-1993),398
Iran Hostage Crisis (1979-1981),399
Iran-Contra Affair (1985-1990),400
Iran-Iraq War (1980-1988),401
Iraq War (2003-2011),402
Iraq-Kuwait Crisis (1990-1991),403
Irish Union (1801),404
"Ishigakibaru, Battle of (Beppu-shi, Japan : 1600)",405
Israel-Arab Border Conflicts (1949-),406
Israel-Arab War (1948-1949),407
Israel-Arab War (1967),408
Israel-Arab War (1973),409
Israeli Intervention in Lebanon (1982-1985),410
Italo-Ethiopian War (1895-1896),411
Italo-Ethiopian War (1935-1936),412
"Itasca County Fair (Itasca County, Minnesota)",413
"Jackson, Battle of (Mississippi :  May 13, 1863)",414
Jacobite Rebellion (1715),415
Jacobite Rebellion (1745-1746),416
Jacquerie (1358),417
"Jankau, Battle of (Jankov, Středočeský kraj, Czech Republic : 1645)",418
"Jaroslawice, Battle of (I︠A︡roslavychi, Ternopilʹsʹka oblastʹ, Ukraine : 1914)",419
"Jersey, Battle of (1781)",420
Jews rescue (1939-1945 : World War),421
"Johnsonville, Battle of (New Johnsonville, Tennessee : 1864)",422
Jonestown Mass Suicide (Guyana : 1978),423
"Juchitán, Battle of (Juchitán de Zaragoza, Mexico : 1866)",424
"Juchitán, Battle of (Mexico : 1866)",425
Jugurthine War (111-105 B.C.),426
June in Buffalo (Festival),427
"Junior Livestock Show (South Saint Paul, Minnesota)",428
"Kalinin, Battle of (Tverʹ, Russia : 1941)",429
Kalmar War (1611-1613),430
Kandiyohi County Fair (Minnesota),431
"Kanizsa, Battle of (Nagykanizsa, Hungary : 1601)",432
Kanto Earthquake (Japan : 1923),433
"Kápolna, Battle of (Heves Megye, Hungary : 1849)",434
"Karameh, Battle of (Karāmah, Jordan : 1968)",435
"Karbalāʼ, Battle of (Iraq : 680)",436
"Karbalāʼ, Battle of (Iraq : 680)",437
Kawanakajima War (1553-1564),438
"Kemmel, Battles of (Belgium : 1918)",439
"Kent State Shootings (Kent, Ohio : 1970)",440
"Kernstown, 1st Battle of (Winchester, Virginia : 1862)",441
Kett's Rebellion (England : 1549),442
"Khafji, Battle of (Raʼs al-Khafjī, Saudi Arabia : 1991)",443
"Kharkov, Battle of (Kharkiv, Ukraine : 1942)",444
"Kharkov, Battle of (Kharkiv, Ukraine : 1943)",445
Kiel Regatta (Germany : 1907),446
Kiel Regatta (Germany : 1914),447
Kieler Woche,448
King Philip's War (1675-1676),449
Kingsport Press Strike (Tennessee : 1963-),450
"Kirchholm, Battle of (Salaspils, Latvia : 1605)",451
Kishiwada Bōseki Kabushiki Kaisha Strike (Japan : 1930),452
"Kliszow, Battle of (Kliszów, Poland : 1702)",453
"Kodziowce, Battle of (Kodzeŭtsy, Belarus : 1939)",454
Kohler Company Strike (Wisconsin : 1954-1960),455
Kolwezi Massacre (Congo : 1978),456
"Königgrätz, Battle of (Sadová, Czech Republic : 1866)",457
"Königsberg, Battle of (Kaliningrad, Kaliningradskai︠a︡ oblastʹ, Russia : 1945)",458
"Konotop, Battle of (Sumsʹka oblastʹ, Ukraine : 1659)",459
Korean resistance movements (1905-1945),460
Korean reunification question (1945- ),461
Korean War (1950-1953),462
"Korička jama Massacre (Korita, Bileća, Bosnia and Hercegovina : 1941)",463
Kosovo War (Serbia : 1998-1999),464
"Kosovo, Battle of (Kosovo : 1389)",465
"Kosovo, Battle of (Kosovo : 1448)",466
"Kosovo, Battle of (Serbia : 1389)",467
"Kosovo, Battle of (Serbia : 1389) in literature",468
"Kosovo, Battle of (Serbia : 1448)",469
Kotor Mutiny (Montenegro : 1918),470
Krasnodar Trial (Russia : 1943),471
Kristallnacht (1938),472
"Kunersdorf, Battle of (Kunowice, Poland : 1759)",473
Kwangju Piennalle,474
"La Palma, Battle of (Pinar del Río, Cuba : 1896)",475
"La Trinidad, Battle of (Honduras : 1827)",476
"Lagarde, Battle of (Lorraine, France : 1940)",477
"Langemarck, Battle of (Langemark, Belgium : 1914)",478
"Las Carreras, Battle of (Dominican Republic : 1849)",479
"Las Piedras, Battle of (Canelones, Uruguay : 1811)",480
Lausanne Disputation (Switzerland : 1536),481
"Le Hamel, Battle of (Amiens, France : 1918)",482
Leipzig Disputation (Germany : 1519),483
Leipzig Trials (Germany : 1921),484
"Lemberg, Battle of (Lʹviv, Ukraine : 1914)",485
"Lenino, Battle of (Mahili︠o︡ŭskai︠a︡ voblastsʹ, Belarus : 1943)",486
"Leuthen, Battle of (Lutynia, Poland : 1757)",487
"Lexington, Battle of (Missouri : 1861)",488
"Liegnitz, Battle of (Legnickie Pole, Poland : 1241)",489
Lincoln-Douglas Debates (Illinois : 1858),490
"Little Bighorn, Battle of the (Montana : 1876)",491
Little Rock Expedition (Arkansas : 1863),492
Livonian War (1557-1582),493
London Triathlon,494
"Long Island, Battle of (New York, New York : 1776)",495
"Loos, Battle of (Loos-en-Gohelle, France : 1915)",496
Loray Mill Strike (1929),497
Lord Dunmore's War (1774),498
"Lutsk, Battle of (Lut︠s︡ʹk, Ukraine : 1916)",499
"Macedonian War, 3rd (171-168 B.C.)",500
"Maciejowice, Battle of (Garwolin, Poland : 1794)",501
"Magdala, Battle of (Āmba Maryam, Ethiopia : 1868)",502
"Magnesia, Battle of (Manisa, Turkey : 190 B.C.)",503
Managua Earthquake (Nicaragua : 1972),504
"Mansurah, Battle of (Manṣūrah, Egypt : 1250)",505
"Marasesti, Battle of (Vrancea, Romania : 1917)",506
"Marasti, Battle of (Vrancea, Romania : 1917)",507
Maratha War (1803),508
"March on Washington for Lesbian, Gay, and Bi Equal Rights and Liberation",509
"Marcha por la Vida, la Coca y la Soberanía Nacional (Bolivia : 1994)",510
"Marignano, Battle of (Melegnano, Italy : 1515)",511
Marinette Knitting Mills Strike (Wisconsin : 1951),512
Martinsville Seven Trial (Virginia : 1949),513
Maseru Massacre (Lesotho : 1982),514
Meerut Communist Conspiracy Trial (India : 1929-1933),515
"Melitopol, Battle of (Melitopolʹ, Ukraine : 1943)",516
"Message to Man International Documentary, Short, and Animated Film Festival",517
Metal-Workers' Strike (Germany : 1928-1929),518
Metal-workers' Strike (United States : 1935),519
Mexican War (1846-1848),520
Miners' Revolt (Spain : 1934),521
"Miraflores, Battle of (Lima, Peru : 1881)",522
Miss Black America Pageant of Hudson County (New Jersey),523
"Monastir, Battle of (Bitola, Macedonia : 1912)",524
"Monmouth, Battle of (Freehold, New Jersey : 1778)",525
Monmouth's Rebellion (1685),526
Monongah Mines Disaster (W. Virginia : 1907),527
"Mons, 1st Battle of (Belgium : 1914)",528
"Montdidier, Battle of (Picardy, France : 1918)",529
"Morat, Battle of (Murten, Switzerland : 1476)",530
Moscow Trial (Russia : 1945),531
Moscow Trials (Russia : 1936-1937),532
Moscow Uprising (Russia : 1662),533
"Mossy Creek, Battle of (Jefferson City, Tennessee : 1863)",534
"Motorama (New York, etc.)",535
Mountain Meadows Massacre (Utah : 1857),536
Moura Mine Disaster (Queensland : 1994),537
Mud Run Disaster (1888),538
Mud Run Disaster (Pennsylvania : 1888),539
Mukden Incident (China : 1931),540
"Mukden, Battle of (Shenyang, Liaoning Sheng, China : 1905)",541
"Mumbai Terrorist Attacks (Mumbai, India : 2008)",542
"Muret, Battle of (Haute-Garonne, France : 1213)",543
"Musa Dagh, Defense of (Turkey : 1915)",544
"Myitkyina, Battle of (Myitkyinā, Burma : 1944)",545
"Nagyszeben, Battle of (Sibiu, Romania : March 11, 1849)",546
"Naoussa, Battle of (Ēmathia, Greece : 1949)",547
Napipi Expedition,548
Napoleonic Wars (1800-1815),549
National Agricultural Outlook Conference (United States),550
National Book Festival (United States),551
"National Cherry Festival (Traverse City, Michigan)",552
"National Cherry Festival (Traverse City, Mighigan)",553
National Conference on Public Health Training (United States),554
National Eucharistic Congress (United States),555
National March on Washington for Lesbian and Gay Rights,556
"Navarino, Battle of (Pylos, Greece : 1827)",557
Nedlaw Sculpture Exhibition,558
"Neshoba County Fair (Neshoba County, Mississippi)",559
Neuropsychiatric Institute (United States),560
New York Shakespeare Festival Productions,561
New York World's Fair,562
Newport Uprising (Wales : 1839),563
"Nicopolis, Battle of (Nikopol, Bulgaria : 1396)",564
"North American International Auto Show (Detroit, Michigan)",565
"North American International Auto Show (Detroit, Mighigan)",566
"North Shore Music Festival (Evanston, Illinois)",567
Northern Rebellion (Great Britain : 1569),568
Northern War (1700-1721),569
Northern War (New Zealand : 1845-1846),570
"Northwest Sports, Travel, and Boat Show (Minneapolis, Minnesota)",571
"Novembrada (Florianópolis, Santa Catarina, Brazil : 1979)",572
"Novi, Battle of (Novi Ligure, Italy : 1799)",573
Novocherkasskiĭ ėlektrovozostroitelʹnyĭ zavod Strike (Russia : 1962),574
Nuremberg Medical Trial (Germany : 1946-1947),575
Nuremberg Trial of Major German War Criminals (Germany : 1945-1946),576
Nuremberg War Crime Trials (Germany : 1946-1949),577
"Ochakov, Battle of (Ochakiv, Ukraine : 1737)",578
"Odawara, Battle of (Odawara-shi, Japan : 1590)",579
"Odessa, Battle of (Odesa, Ukraine : 1941)",580
"Odessa, Battle of (Odesa, Ukraine : 1944)",581
Oklahoma City Federal Building Bombing (Oklahoma : 1995),582
"Ole Time Fiddler's & Bluegrass Festival (Union Grove, N.C.)",583
"Oltenitza, Battle of (Oltenița, Romania : 1853)",584
Operation Crossroads (Marshall Islands : 1946),585
Operation Desert Shield (1990-1991),586
